"filtered_node","original_node","borough","rejected_count","total_tests","rejected_frac"
46,47,"Manhattan",101,702,0.143874643874644
47,48,"Manhattan",70,702,0.0997150997150997
48,49,"Brooklyn",33,702,0.047008547008547
49,50,"Brooklyn",125,702,0.178062678062678
50,51,"Manhattan",94,702,0.133903133903134
51,52,"Manhattan",98,702,0.13960113960114
52,53,"Manhattan",172,702,0.245014245014245
53,54,"Manhattan",5,702,0.00712250712250712
54,55,"Manhattan",90,702,0.128205128205128
55,56,"Brooklyn",224,702,0.319088319088319
56,57,"Brooklyn",3,702,0.00427350427350427
57,58,"Brooklyn",6,702,0.00854700854700855
58,59,"Manhattan",196,702,0.279202279202279
59,60,"Brooklyn",1,702,0.00142450142450142
60,61,"Manhattan",107,702,0.152421652421652
61,62,"Manhattan",75,702,0.106837606837607
62,63,"Manhattan",36,702,0.0512820512820513
63,64,"Brooklyn",145,702,0.206552706552707
64,65,"Manhattan",123,702,0.175213675213675
65,66,"Manhattan",104,702,0.148148148148148
66,67,"Brooklyn",39,702,0.0555555555555556
67,68,"Manhattan",113,702,0.160968660968661
68,69,"Manhattan",108,702,0.153846153846154
69,70,"Manhattan",109,702,0.155270655270655
70,71,"Manhattan",113,702,0.160968660968661
71,72,"Manhattan",136,702,0.193732193732194
72,73,"Brooklyn",144,702,0.205128205128205
73,74,"Manhattan",161,702,0.229344729344729
74,75,"Manhattan",110,702,0.156695156695157
75,76,"Manhattan",202,702,0.287749287749288
76,77,"Manhattan",98,702,0.13960113960114
77,78,"Manhattan",11,702,0.0156695156695157
78,79,"Manhattan",116,702,0.165242165242165
79,80,"Manhattan",105,702,0.14957264957265
80,81,"Manhattan",106,702,0.150997150997151
81,82,"Brooklyn",139,702,0.198005698005698
82,83,"Manhattan",114,702,0.162393162393162
83,84,"Manhattan",109,702,0.155270655270655
84,85,"Brooklyn",41,702,0.0584045584045584
85,86,"Brooklyn",119,702,0.16951566951567
86,87,"Manhattan",189,702,0.269230769230769
87,88,"Manhattan",114,702,0.162393162393162
88,89,"Manhattan",105,702,0.14957264957265
89,90,"Manhattan",159,702,0.226495726495726
90,91,"Manhattan",200,702,0.284900284900285
91,92,"Brooklyn",312,702,0.444444444444444
92,93,"Brooklyn",52,702,0.0740740740740741
93,94,"Brooklyn",5,702,0.00712250712250712
94,95,"Manhattan",53,702,0.0754985754985755
95,96,"Manhattan",120,702,0.170940170940171
96,97,"Manhattan",139,702,0.198005698005698
97,98,"Manhattan",112,702,0.15954415954416
98,99,"Manhattan",63,702,0.0897435897435897
99,100,"Manhattan",109,702,0.155270655270655
100,101,"Manhattan",208,702,0.296296296296296
101,102,"Manhattan",46,702,0.0655270655270655
102,103,"Manhattan",122,702,0.173789173789174
103,104,"Manhattan",74,702,0.105413105413105
104,105,"Manhattan",129,702,0.183760683760684
105,106,"Manhattan",94,702,0.133903133903134
106,107,"Manhattan",165,702,0.235042735042735
107,108,"Manhattan",74,702,0.105413105413105
108,109,"Manhattan",111,702,0.158119658119658
109,111,"Brooklyn",59,702,0.084045584045584
110,112,"Manhattan",80,702,0.113960113960114
111,113,"Manhattan",100,702,0.142450142450142
112,114,"Manhattan",102,702,0.145299145299145
113,115,"Manhattan",132,702,0.188034188034188
114,116,"Manhattan",124,702,0.176638176638177
115,117,"Brooklyn",5,702,0.00712250712250712
116,118,"Brooklyn",54,702,0.0769230769230769
117,119,"Manhattan",118,702,0.168091168091168
118,120,"Manhattan",36,702,0.0512820512820513
119,121,"Manhattan",107,702,0.152421652421652
120,122,"Manhattan",37,702,0.0527065527065527
121,123,"Manhattan",110,702,0.156695156695157
122,124,"Manhattan",109,702,0.155270655270655
123,125,"Manhattan",5,702,0.00712250712250712
124,126,"Manhattan",157,702,0.223646723646724
125,127,"Brooklyn",20,702,0.0284900284900285
126,128,"Manhattan",92,702,0.131054131054131
127,129,"Manhattan",86,702,0.122507122507123
128,130,"Brooklyn",0,702,0
129,131,"Brooklyn",15,702,0.0213675213675214
130,132,"Manhattan",152,702,0.216524216524217
131,133,"Manhattan",118,702,0.168091168091168
132,134,"Manhattan",35,702,0.0498575498575499
133,135,"Manhattan",66,702,0.094017094017094
134,136,"Manhattan",126,702,0.17948717948718
135,137,"Manhattan",90,702,0.128205128205128
136,138,"Manhattan",31,702,0.0441595441595442
137,139,"Manhattan",105,702,0.14957264957265
138,140,"Manhattan",142,702,0.202279202279202
139,141,"Manhattan",86,702,0.122507122507123
140,142,"Brooklyn",192,702,0.273504273504274
141,143,"Brooklyn",40,702,0.056980056980057
142,144,"Brooklyn",386,702,0.54985754985755
143,145,"Brooklyn",12,702,0.0170940170940171
144,146,"Manhattan",96,702,0.136752136752137
145,147,"Manhattan",166,702,0.236467236467236
146,149,"Brooklyn",19,702,0.0270655270655271
147,150,"Brooklyn",247,702,0.351851851851852
148,151,"Brooklyn",10,702,0.0142450142450142
149,152,"Manhattan",46,702,0.0655270655270655
150,153,"Manhattan",80,702,0.113960113960114
151,154,"Manhattan",109,702,0.155270655270655
152,155,"Manhattan",81,702,0.115384615384615
153,156,"Manhattan",99,702,0.141025641025641
154,157,"Brooklyn",289,702,0.411680911680912
155,158,"Manhattan",98,702,0.13960113960114
156,159,"Manhattan",166,702,0.236467236467236
157,160,"Manhattan",85,702,0.121082621082621
158,161,"Manhattan",101,702,0.143874643874644
159,162,"Manhattan",142,702,0.202279202279202
160,163,"Brooklyn",28,702,0.0398860398860399
161,164,"Manhattan",167,702,0.237891737891738
162,165,"Brooklyn",58,702,0.0826210826210826
163,166,"Brooklyn",8,702,0.0113960113960114
164,167,"Brooklyn",96,702,0.136752136752137
165,168,"Brooklyn",3,702,0.00427350427350427
166,169,"Manhattan",17,702,0.0242165242165242
167,170,"Manhattan",9,702,0.0128205128205128
168,171,"Manhattan",75,702,0.106837606837607
169,172,"Manhattan",242,702,0.344729344729345
170,173,"Manhattan",107,702,0.152421652421652
171,174,"Manhattan",45,702,0.0641025641025641
172,175,"Manhattan",70,702,0.0997150997150997
173,177,"Brooklyn",19,702,0.0270655270655271
174,178,"Manhattan",117,702,0.166666666666667
175,179,"Manhattan",145,702,0.206552706552707
176,180,"Manhattan",10,702,0.0142450142450142
177,181,"Manhattan",44,702,0.0626780626780627
178,182,"Brooklyn",42,702,0.0598290598290598
179,183,"Manhattan",96,702,0.136752136752137
180,184,"Manhattan",56,702,0.0797720797720798
181,185,"Manhattan",12,702,0.0170940170940171
182,186,"Manhattan",36,702,0.0512820512820513
183,187,"Manhattan",15,702,0.0213675213675214
184,188,"Manhattan",52,702,0.0740740740740741
185,189,"Manhattan",30,702,0.0427350427350427
186,190,"Manhattan",0,702,0
187,191,"Manhattan",1,702,0.00142450142450142
188,192,"Manhattan",64,702,0.0911680911680912
189,193,"Manhattan",74,702,0.105413105413105
190,194,"Brooklyn",184,702,0.262108262108262
191,195,"Manhattan",74,702,0.105413105413105
192,196,"Manhattan",87,702,0.123931623931624
193,197,"Manhattan",42,702,0.0598290598290598
194,198,"Manhattan",52,702,0.0740740740740741
195,199,"Brooklyn",229,702,0.326210826210826
196,200,"Manhattan",17,702,0.0242165242165242
197,201,"Manhattan",21,702,0.0299145299145299
198,202,"Manhattan",67,702,0.0954415954415954
199,203,"Brooklyn",300,702,0.427350427350427
200,204,"Manhattan",5,702,0.00712250712250712
201,205,"Manhattan",29,702,0.0413105413105413
202,206,"Manhattan",11,702,0.0156695156695157
203,207,"Manhattan",16,702,0.0227920227920228
204,208,"Manhattan",9,702,0.0128205128205128
205,209,"Manhattan",67,702,0.0954415954415954
206,210,"Manhattan",14,702,0.0199430199430199
207,211,"Manhattan",37,702,0.0527065527065527
208,212,"Brooklyn",276,702,0.393162393162393
209,213,"Manhattan",112,702,0.15954415954416
210,214,"Manhattan",105,702,0.14957264957265
211,215,"Manhattan",75,702,0.106837606837607
212,216,"Manhattan",134,702,0.190883190883191
213,217,"Manhattan",51,702,0.0726495726495727
214,218,"Manhattan",188,702,0.267806267806268
215,219,"Manhattan",76,702,0.108262108262108
216,220,"Manhattan",36,702,0.0512820512820513
217,221,"Manhattan",60,702,0.0854700854700855
218,222,"Manhattan",10,702,0.0142450142450142
219,223,"Manhattan",11,702,0.0156695156695157
220,224,"Manhattan",64,702,0.0911680911680912
221,225,"Manhattan",13,702,0.0185185185185185
222,226,"Manhattan",79,702,0.112535612535613
223,227,"Manhattan",136,702,0.193732193732194
224,228,"Manhattan",32,702,0.0455840455840456
225,229,"Manhattan",11,702,0.0156695156695157
226,230,"Manhattan",23,702,0.0327635327635328
227,231,"Manhattan",139,702,0.198005698005698
228,232,"Manhattan",64,702,0.0911680911680912
229,233,"Manhattan",146,702,0.207977207977208
230,234,"Manhattan",63,702,0.0897435897435897
231,235,"Manhattan",15,702,0.0213675213675214
232,236,"Manhattan",32,702,0.0455840455840456
233,237,"Manhattan",14,702,0.0199430199430199
234,238,"Manhattan",44,702,0.0626780626780627
235,239,"Manhattan",51,702,0.0726495726495727
236,240,"Manhattan",52,702,0.0740740740740741
237,241,"Manhattan",7,702,0.00997150997150997
238,242,"Manhattan",0,702,0
239,243,"Manhattan",22,702,0.0313390313390313
240,244,"Manhattan",22,702,0.0313390313390313
241,245,"Manhattan",2,702,0.00284900284900285
242,246,"Manhattan",27,702,0.0384615384615385
243,247,"Manhattan",45,702,0.0641025641025641
244,248,"Manhattan",13,702,0.0185185185185185
245,249,"Manhattan",0,702,0
246,250,"Manhattan",11,702,0.0156695156695157
247,251,"Manhattan",18,702,0.0256410256410256
248,252,"Manhattan",90,702,0.128205128205128
249,253,"Brooklyn",102,702,0.145299145299145
250,254,"Manhattan",16,702,0.0227920227920228
251,255,"Manhattan",136,702,0.193732193732194
252,256,"Manhattan",29,702,0.0413105413105413
253,257,"Brooklyn",342,702,0.487179487179487
254,258,"Manhattan",40,702,0.056980056980057
255,259,"Manhattan",11,702,0.0156695156695157
256,260,"Manhattan",12,702,0.0170940170940171
257,261,"Brooklyn",164,702,0.233618233618234
258,262,"Brooklyn",284,702,0.404558404558405
259,263,"Manhattan",132,702,0.188034188034188
260,265,"Manhattan",150,702,0.213675213675214
261,266,"Manhattan",85,702,0.121082621082621
262,267,"Manhattan",105,702,0.14957264957265
263,268,"Manhattan",66,702,0.094017094017094
264,269,"Manhattan",141,702,0.200854700854701
265,270,"Manhattan",15,702,0.0213675213675214
266,271,"Manhattan",41,702,0.0584045584045584
267,272,"Manhattan",129,702,0.183760683760684
268,273,"Brooklyn",352,702,0.501424501424501
269,274,"Brooklyn",6,702,0.00854700854700855
270,275,"Brooklyn",73,702,0.103988603988604
271,277,"Brooklyn",2,702,0.00284900284900285
272,278,"Brooklyn",0,702,0
273,279,"Brooklyn",0,702,0
274,280,"Brooklyn",0,702,0
275,281,"Brooklyn",11,702,0.0156695156695157
276,282,"Brooklyn",19,702,0.0270655270655271
277,283,"Brooklyn",39,702,0.0555555555555556
278,284,"Brooklyn",8,702,0.0113960113960114
279,285,"Brooklyn",4,702,0.0056980056980057
280,286,"Brooklyn",1,702,0.00142450142450142
281,287,"Brooklyn",12,702,0.0170940170940171
282,288,"Brooklyn",0,702,0
283,289,"Brooklyn",0,702,0
284,290,"Brooklyn",0,702,0
285,291,"Brooklyn",35,702,0.0498575498575499
286,293,"Brooklyn",32,702,0.0455840455840456
287,295,"Brooklyn",13,702,0.0185185185185185
288,296,"Brooklyn",101,702,0.143874643874644
289,297,"Brooklyn",0,702,0
290,298,"Brooklyn",19,702,0.0270655270655271
291,299,"Brooklyn",6,702,0.00854700854700855
292,300,"Brooklyn",34,702,0.0484330484330484
293,301,"Brooklyn",12,702,0.0170940170940171
294,302,"Brooklyn",45,702,0.0641025641025641
295,303,"Brooklyn",183,702,0.260683760683761
296,304,"Brooklyn",81,702,0.115384615384615
297,306,"Brooklyn",127,702,0.180911680911681
298,307,"Brooklyn",204,702,0.290598290598291
299,308,"Brooklyn",282,702,0.401709401709402
300,309,"Brooklyn",282,702,0.401709401709402
301,310,"Brooklyn",154,702,0.219373219373219
302,311,"Brooklyn",227,702,0.323361823361823
303,313,"Brooklyn",200,702,0.284900284900285
304,314,"Brooklyn",320,702,0.455840455840456
305,315,"Brooklyn",345,702,0.491452991452991
306,316,"Brooklyn",108,702,0.153846153846154
307,317,"Brooklyn",317,702,0.451566951566952
308,318,"Brooklyn",327,702,0.465811965811966
309,319,"Brooklyn",221,702,0.314814814814815
310,320,"Brooklyn",249,702,0.354700854700855
311,321,"Brooklyn",389,702,0.554131054131054
312,322,"Brooklyn",249,702,0.354700854700855
313,323,"Brooklyn",237,702,0.337606837606838
314,324,"Brooklyn",253,702,0.36039886039886
315,325,"Brooklyn",59,702,0.084045584045584
316,326,"Brooklyn",284,702,0.404558404558405
317,327,"Brooklyn",335,702,0.477207977207977
318,328,"Brooklyn",309,702,0.44017094017094
319,329,"Brooklyn",270,702,0.384615384615385
320,330,"Brooklyn",263,702,0.374643874643875
321,331,"Brooklyn",359,702,0.511396011396011
322,332,"Brooklyn",317,702,0.451566951566952
323,333,"Brooklyn",268,702,0.381766381766382
324,334,"Brooklyn",418,702,0.595441595441595
325,335,"Brooklyn",199,702,0.283475783475783
326,336,"Brooklyn",235,702,0.334757834757835
327,337,"Queens",298,702,0.424501424501425
328,338,"Queens",34,702,0.0484330484330484
329,340,"Queens",35,702,0.0498575498575499
330,341,"Queens",176,702,0.250712250712251
331,342,"Queens",204,702,0.290598290598291
332,343,"Queens",159,702,0.226495726495726
333,344,"Queens",10,702,0.0142450142450142
334,345,"Queens",57,702,0.0811965811965812
335,346,"Queens",155,702,0.220797720797721
336,347,"Queens",246,702,0.35042735042735
337,348,"Manhattan",0,702,0
338,349,"Manhattan",33,702,0.047008547008547
339,350,"Manhattan",39,702,0.0555555555555556
340,351,"Manhattan",59,702,0.084045584045584
341,354,"Manhattan",11,702,0.0156695156695157
342,355,"Manhattan",87,702,0.123931623931624
343,356,"Manhattan",121,702,0.172364672364672
344,357,"Manhattan",89,702,0.126780626780627
345,358,"Manhattan",55,702,0.0783475783475783
346,359,"Manhattan",23,702,0.0327635327635328
347,360,"Manhattan",17,702,0.0242165242165242
348,361,"Manhattan",51,702,0.0726495726495727
349,362,"Manhattan",5,702,0.00712250712250712
350,363,"Manhattan",55,702,0.0783475783475783
351,364,"Manhattan",0,702,0
352,365,"Manhattan",46,702,0.0655270655270655
353,366,"Manhattan",27,702,0.0384615384615385
354,367,"Manhattan",63,702,0.0897435897435897
355,368,"Manhattan",20,702,0.0284900284900285
356,369,"Manhattan",14,702,0.0199430199430199
357,370,"Manhattan",27,702,0.0384615384615385
358,371,"Manhattan",27,702,0.0384615384615385
359,372,"Manhattan",25,702,0.0356125356125356
360,373,"Manhattan",1,702,0.00142450142450142
361,374,"Manhattan",20,702,0.0284900284900285
362,375,"Manhattan",18,702,0.0256410256410256
363,376,"Manhattan",43,702,0.0612535612535613
364,377,"Manhattan",14,702,0.0199430199430199
365,378,"Manhattan",21,702,0.0299145299145299
366,379,"Manhattan",37,702,0.0527065527065527
367,380,"Manhattan",7,702,0.00997150997150997
368,381,"Manhattan",16,702,0.0227920227920228
369,382,"Manhattan",16,702,0.0227920227920228
370,383,"Manhattan",15,702,0.0213675213675214
371,384,"Manhattan",14,702,0.0199430199430199
372,385,"Manhattan",18,702,0.0256410256410256
373,386,"Manhattan",7,702,0.00997150997150997
374,387,"Manhattan",17,702,0.0242165242165242
375,388,"Brooklyn",0,702,0
376,390,"Queens",62,702,0.0883190883190883
377,391,"Manhattan",25,702,0.0356125356125356
378,392,"Manhattan",2,702,0.00284900284900285
379,393,"Brooklyn",222,702,0.316239316239316
380,394,"Manhattan",99,702,0.141025641025641
381,395,"Manhattan",7,702,0.00997150997150997
382,396,"Manhattan",0,702,0
383,397,"Brooklyn",49,702,0.0698005698005698
384,398,"Brooklyn",220,702,0.313390313390313
385,399,"Manhattan",0,702,0
386,400,"Manhattan",42,702,0.0598290598290598
387,401,"Brooklyn",15,702,0.0213675213675214
388,403,"Manhattan",71,702,0.101139601139601
389,404,"Manhattan",93,702,0.132478632478632
390,405,"Manhattan",21,702,0.0299145299145299
391,406,"Manhattan",104,702,0.148148148148148
392,407,"Manhattan",122,702,0.173789173789174
393,408,"Manhattan",63,702,0.0897435897435897
394,409,"Manhattan",17,702,0.0242165242165242
395,410,"Manhattan",27,702,0.0384615384615385
396,411,"Manhattan",7,702,0.00997150997150997
397,412,"Manhattan",57,702,0.0811965811965812
398,413,"Manhattan",45,702,0.0641025641025641
399,415,"Manhattan",44,702,0.0626780626780627
400,416,"Manhattan",20,702,0.0284900284900285
401,417,"Manhattan",24,702,0.0341880341880342
402,418,"Manhattan",12,702,0.0170940170940171
403,419,"Manhattan",38,702,0.0541310541310541
404,420,"Manhattan",122,702,0.173789173789174
405,421,"Brooklyn",31,702,0.0441595441595442
406,422,"Brooklyn",86,702,0.122507122507123
407,423,"Manhattan",51,702,0.0726495726495727
408,424,"Brooklyn",5,702,0.00712250712250712
409,425,"Manhattan",18,702,0.0256410256410256
410,426,"Manhattan",4,702,0.0056980056980057
411,427,"Brooklyn",70,702,0.0997150997150997
412,428,"Brooklyn",24,702,0.0341880341880342
413,429,"Manhattan",83,702,0.118233618233618
414,430,"Brooklyn",8,702,0.0113960113960114
415,431,"Manhattan",1,702,0.00142450142450142
416,432,"Brooklyn",44,702,0.0626780626780627
417,433,"Manhattan",33,702,0.047008547008547
418,434,"Brooklyn",19,702,0.0270655270655271
419,435,"Brooklyn",97,702,0.138176638176638
420,436,"Manhattan",56,702,0.0797720797720798
421,437,"Brooklyn",10,702,0.0142450142450142
422,438,"Manhattan",23,702,0.0327635327635328
423,439,"Brooklyn",358,702,0.50997150997151
424,440,"Brooklyn",18,702,0.0256410256410256
425,441,"Manhattan",137,702,0.195156695156695
426,442,"Brooklyn",58,702,0.0826210826210826
427,443,"Manhattan",16,702,0.0227920227920228
428,444,"Brooklyn",272,702,0.387464387464387
429,445,"Brooklyn",4,702,0.0056980056980057
430,446,"Manhattan",37,702,0.0527065527065527
431,449,"Manhattan",14,702,0.0199430199430199
432,450,"Manhattan",33,702,0.047008547008547
433,451,"Brooklyn",234,702,0.333333333333333
434,452,"Brooklyn",125,702,0.178062678062678
435,453,"Manhattan",5,702,0.00712250712250712
436,454,"Brooklyn",4,702,0.0056980056980057
437,456,"Brooklyn",109,702,0.155270655270655
438,457,"Manhattan",15,702,0.0213675213675214
439,459,"Manhattan",53,702,0.0754985754985755
440,460,"Brooklyn",3,702,0.00427350427350427
441,462,"Manhattan",6,702,0.00854700854700855
442,464,"Manhattan",59,702,0.084045584045584
443,465,"Brooklyn",16,702,0.0227920227920228
444,466,"Manhattan",69,702,0.0982905982905983
445,467,"Brooklyn",52,702,0.0740740740740741
446,468,"Brooklyn",195,702,0.277777777777778
447,469,"Brooklyn",220,702,0.313390313390313
448,470,"Brooklyn",9,702,0.0128205128205128
449,471,"Manhattan",16,702,0.0227920227920228
450,472,"Manhattan",86,702,0.122507122507123
451,474,"Brooklyn",52,702,0.0740740740740741
452,475,"Manhattan",7,702,0.00997150997150997
453,476,"Manhattan",5,702,0.00712250712250712
454,477,"Manhattan",8,702,0.0113960113960114
455,479,"Manhattan",1,702,0.00142450142450142
456,481,"Brooklyn",60,702,0.0854700854700855
457,483,"Manhattan",68,702,0.0968660968660969
458,484,"Brooklyn",245,702,0.349002849002849
459,485,"Brooklyn",11,702,0.0156695156695157
460,486,"Manhattan",41,702,0.0584045584045584
461,487,"Manhattan",71,702,0.101139601139601
462,488,"Brooklyn",223,702,0.317663817663818
463,489,"Manhattan",54,702,0.0769230769230769
464,490,"Manhattan",27,702,0.0384615384615385
465,491,"Manhattan",95,702,0.135327635327635
466,493,"Manhattan",48,702,0.0683760683760684
467,494,"Manhattan",7,702,0.00997150997150997
468,495,"Manhattan",1,702,0.00142450142450142
469,496,"Brooklyn",227,702,0.323361823361823
470,497,"Manhattan",20,702,0.0284900284900285
471,498,"Manhattan",38,702,0.0541310541310541
472,499,"Brooklyn",66,702,0.094017094017094
473,500,"Brooklyn",329,702,0.468660968660969
474,501,"Manhattan",65,702,0.0925925925925926
475,502,"Brooklyn",248,702,0.353276353276353
476,503,"Brooklyn",236,702,0.336182336182336
477,504,"Manhattan",76,702,0.108262108262108
478,505,"Brooklyn",302,702,0.43019943019943
479,506,"Brooklyn",261,702,0.371794871794872
480,507,"Manhattan",63,702,0.0897435897435897
481,508,"Manhattan",51,702,0.0726495726495727
482,513,"Brooklyn",157,702,0.223646723646724
483,514,"Brooklyn",215,702,0.306267806267806
484,515,"Brooklyn",166,702,0.236467236467236
485,516,"Brooklyn",114,702,0.162393162393162
486,517,"Manhattan",61,702,0.0868945868945869
487,518,"Brooklyn",217,702,0.309116809116809
488,519,"Brooklyn",13,702,0.0185185185185185
489,520,"Brooklyn",133,702,0.189458689458689
490,521,"Brooklyn",24,702,0.0341880341880342
491,523,"Brooklyn",243,702,0.346153846153846
492,524,"Brooklyn",233,702,0.331908831908832
493,525,"Brooklyn",32,702,0.0455840455840456
494,526,"Brooklyn",14,702,0.0199430199430199
495,527,"Brooklyn",5,702,0.00712250712250712
496,528,"Brooklyn",55,702,0.0783475783475783
497,529,"Brooklyn",26,702,0.037037037037037
498,530,"Brooklyn",0,702,0
499,531,"Brooklyn",77,702,0.10968660968661
500,532,"Brooklyn",16,702,0.0227920227920228
501,533,"Brooklyn",21,702,0.0299145299145299
502,534,"Brooklyn",14,702,0.0199430199430199
503,535,"Brooklyn",283,702,0.403133903133903
504,536,"Brooklyn",227,702,0.323361823361823
505,537,"Brooklyn",186,702,0.264957264957265
506,539,"Manhattan",64,702,0.0911680911680912
507,540,"Manhattan",107,702,0.152421652421652
508,541,"Brooklyn",65,702,0.0925925925925926
509,542,"Brooklyn",270,702,0.384615384615385
510,543,"Manhattan",4,702,0.0056980056980057
511,544,"Manhattan",117,702,0.166666666666667
512,545,"Manhattan",12,702,0.0170940170940171
513,546,"Brooklyn",289,702,0.411680911680912
514,547,"Manhattan",0,702,0
515,548,"Manhattan",32,702,0.0455840455840456
516,549,"Brooklyn",127,702,0.180911680911681
517,550,"Brooklyn",215,702,0.306267806267806
518,551,"Brooklyn",334,702,0.475783475783476
519,552,"Brooklyn",86,702,0.122507122507123
520,554,"Manhattan",99,702,0.141025641025641
521,555,"Manhattan",97,702,0.138176638176638
522,556,"Manhattan",51,702,0.0726495726495727
523,557,"Manhattan",116,702,0.165242165242165
524,558,"Brooklyn",378,702,0.538461538461538
525,559,"Manhattan",60,702,0.0854700854700855
526,561,"Brooklyn",0,702,0
527,563,"Brooklyn",228,702,0.324786324786325
528,564,"Manhattan",61,702,0.0868945868945869
529,565,"Manhattan",59,702,0.084045584045584
530,568,"Manhattan",58,702,0.0826210826210826
531,569,"Manhattan",67,702,0.0954415954415954
532,570,"Manhattan",102,702,0.145299145299145
533,571,"Manhattan",75,702,0.106837606837607
534,572,"Manhattan",80,702,0.113960113960114
535,573,"Manhattan",64,702,0.0911680911680912
536,574,"Manhattan",47,702,0.066951566951567
537,575,"Manhattan",59,702,0.084045584045584
538,576,"Manhattan",70,702,0.0997150997150997
539,577,"Manhattan",41,702,0.0584045584045584
540,578,"Manhattan",61,702,0.0868945868945869
541,579,"Manhattan",82,702,0.116809116809117
542,580,"Manhattan",46,702,0.0655270655270655
543,581,"Manhattan",117,702,0.166666666666667
544,582,"Manhattan",80,702,0.113960113960114
545,583,"Manhattan",56,702,0.0797720797720798
546,584,"Manhattan",54,702,0.0769230769230769
547,585,"Manhattan",67,702,0.0954415954415954
548,587,"Queens",87,702,0.123931623931624
549,588,"Queens",59,702,0.084045584045584
550,589,"Queens",84,702,0.11965811965812
551,590,"Queens",90,702,0.128205128205128
552,592,"Manhattan",50,702,0.0712250712250712
553,593,"Manhattan",64,702,0.0911680911680912
554,594,"Manhattan",80,702,0.113960113960114
555,595,"Queens",193,702,0.274928774928775
556,597,"Queens",121,702,0.172364672364672
557,599,"Queens",236,702,0.336182336182336
558,600,"Manhattan",43,702,0.0612535612535613
559,601,"Queens",118,702,0.168091168091168
560,602,"Manhattan",90,702,0.128205128205128
561,603,"Queens",73,702,0.103988603988604
562,605,"Queens",98,702,0.13960113960114
563,607,"Manhattan",40,702,0.056980056980057
564,608,"Manhattan",81,702,0.115384615384615
565,609,"Manhattan",55,702,0.0783475783475783
566,610,"Brooklyn",46,702,0.0655270655270655
567,611,"Manhattan",18,702,0.0256410256410256
568,613,"Manhattan",49,702,0.0698005698005698
569,614,"Manhattan",24,702,0.0341880341880342
570,615,"Manhattan",30,702,0.0427350427350427
571,616,"Manhattan",2,702,0.00284900284900285
572,617,"Brooklyn",0,702,0
573,618,"Manhattan",13,702,0.0185185185185185
574,619,"Brooklyn",1,702,0.00142450142450142
575,620,"Manhattan",41,702,0.0584045584045584
576,621,"Brooklyn",10,702,0.0142450142450142
577,622,"Manhattan",67,702,0.0954415954415954
578,623,"Manhattan",15,702,0.0213675213675214
579,624,"Manhattan",73,702,0.103988603988604
580,626,"Queens",138,702,0.196581196581197
581,627,"Queens",85,702,0.121082621082621
582,629,"Brooklyn",0,702,0
583,631,"Queens",19,702,0.0270655270655271
584,632,"Queens",94,702,0.133903133903134
585,633,"Brooklyn",12,702,0.0170940170940171
586,634,"Queens",83,702,0.118233618233618
587,637,"Queens",56,702,0.0797720797720798
588,640,"Brooklyn",19,702,0.0270655270655271
589,641,"Queens",107,702,0.152421652421652
590,642,"Brooklyn",3,702,0.00427350427350427
591,643,"Queens",144,702,0.205128205128205
592,645,"Brooklyn",0,702,0
593,646,"Queens",66,702,0.094017094017094
594,647,"Brooklyn",9,702,0.0128205128205128
